code,ingredient,dosage,name,price
1229405A1028,ロクロニウム臭化物,２５ｍｇ２．５ｍＬ１瓶,エスラックス静注２５ｍｇ／２．５ｍＬ,361.0
1229405A1036,ロクロニウム臭化物,２５ｍｇ２．５ｍＬ１瓶,ロクロニウム臭化物静注液２５ｍｇ／２．５ｍＬ「Ｆ」,320.0
1229405A1044,ロクロニウム臭化物,２５ｍｇ２．５ｍＬ１瓶,ロクロニウム臭化物静注液２５ｍｇ／２．５ｍＬ「マルイシ」,320.0
1229405A2024,ロクロニウム臭化物,５０ｍｇ５ｍＬ１瓶,エスラックス静注５０ｍｇ／５．０ｍＬ,513.0
1229405A2032,ロクロニウム臭化物,５０ｍｇ５ｍＬ１瓶,ロクロニウム臭化物静注液５０ｍｇ／５．０ｍＬ「Ｆ」,415.0
1229405A2040,ロクロニウム臭化物,５０ｍｇ５ｍＬ１瓶,ロクロニウム臭化物静注液５０ｍｇ／５．０ｍＬ「マルイシ」,415.0
1229406A1022,Ｂ型ボツリヌス毒素,２，５００単位０．５ｍＬ１瓶,ナーブロック筋注２５００単位,25205.0
1229407E1029,インコボツリヌストキシンＡ,５０単位１瓶,ゼオマイン筋注用５０単位,17130.0
1229407E2025,インコボツリヌストキシンＡ,１００単位１瓶,ゼオマイン筋注用１００単位,33367.0
1229407E3021,インコボツリヌストキシンＡ,２００単位１瓶,ゼオマイン筋注用２００単位,66315.0
1232400X1015,アセチルコリン塩化物,１００ｍｇ１管（溶解液付）,注射用アセチルコリン塩化物,371.0
1233400A2016,ネオスチグミンメチル硫酸塩,０．０５％１ｍＬ１管,ネオスチグミンメチル硫酸塩注射液,96.0
1233400A3012,ネオスチグミンメチル硫酸塩,０．０５％４ｍＬ１管,ネオスチグミンメチル硫酸塩注射液,233.0
1233500G2025,ネオスチグミンメチル硫酸塩・アトロピン硫酸塩水和物,６ｍＬ１筒,アトワゴリバース静注シリンジ６ｍＬ,495.0
1242401A1013,ブチルスコポラミン臭化物,２％１ｍＬ１管,ブチルスコポラミン臭化物２％１ｍＬ注射液,57.0
1242401A1315,ブチルスコポラミン臭化物,２％１ｍＬ１管,ブスコパン注２０ｍｇ,59.0
1242401A1366,ブチルスコポラミン臭化物,２％１ｍＬ１管,ブチルスコポラミン臭化物注２０ｍｇ「ＮＰ」,86.0
